Rating,Problem Name,Tags,ContestID,Index
1800,Set To Max (Hard Version),constructive algorithms;data structures;divide and conquer;greedy;implementation;sortings,1904,D2
1600,Set To Max (Easy Version),brute force;constructive algorithms;greedy,1904,D1
1400,Array Game,binary search;brute force;data structures;sortings;two pointers,1904,C
1100,Collecting Game,binary search;dp;greedy;sortings;two pointers,1904,B
900,Forked!,brute force;implementation,1904,A
2500,Babysitting,2-sat;binary search;data structures;graphs;trees,1903,F
2000,Geo Game,greedy;interactive;math,1903,E
2500,Maximum And Queries (hard version),bitmasks;divide and conquer;dp;greedy,1903,D2
1700,Maximum And Queries (easy version),binary search;bitmasks;brute force;greedy,1903,D1
1400,Theofanis' Nightmare,constructive algorithms;greedy,1903,C
1200,StORage room,bitmasks;brute force;constructive algorithms;greedy,1903,B
800,Halloumi Boxes,brute force;greedy;sortings,1903,A
2400,Trees and XOR Queries Again,data structures;dfs and similar;divide and conquer;graphs;implementation;math;trees,1902,F
1900,Collapsing Strings,data structures;strings;trees,1902,E
1900,Robot Queries,binary search;data structures;dp;implementation,1902,D
1300,Insert and Equalize,brute force;constructive algorithms;greedy;math;number theory,1902,C
1100,Getting Points,binary search;brute force;greedy,1902,B
800,Binary Imbalance,constructive algorithms,1902,A
2900,Landscaping,binary search;geometry;two pointers,1901,F
2200,Compressed Tree,dfs and similar;dp;graphs;greedy;sortings;trees,1901,E
1700,Yet Another Monster Fight,binary search;dp;greedy;implementation;math,1901,D
1400,Add, Divide and Floor,constructive algorithms;greedy;math,1901,C
1100,Chip and Ribbon,greedy;math,1901,B
800,Line Trip,greedy;math,1901,A
2800,Local Deletions,binary search;data structures;implementation,1900,F
2100,Transitive Graph,dfs and similar;dp;dsu;graphs;implementation,1900,E
2000,Small GCD,bitmasks;brute force;dp;math;number theory,1900,D
1300,Anji's Binary Tree,dfs and similar;dp;trees,1900,C
900,Laura and Operations,dp;math,1900,B
800,Cover in Water,constructive algorithms;greedy;implementation;strings,1900,A
1900,Unusual Entertainment,data structures;dfs and similar;dsu;shortest paths;sortings;trees;two pointers,1899,G
1600,Alex's whims,constructive algorithms;graphs;greedy;shortest paths;trees,1899,F
1300,Queue Sort,greedy;implementation;sortings,1899,E
1300,Yarik and Musical Notes,hashing;math;number theory,1899,D
1100,Yarik and Array,dp;greedy;two pointers,1899,C
1100,250 Thousand Tons of TNT,brute force;implementation;number theory,1899,B
800,Game with Integers,games;math;number theory,1899,A
2600,Vova Escapes the Matrix,brute force;dfs and similar;divide and conquer;shortest paths,1898,F
2200,Sofia and Strings,data structures;greedy;sortings;strings;two pointers,1898,E
1900,Absolute Beauty,greedy;math,1898,D
1700,Colorful Grid,constructive algorithms,1898,C
1500,Milena and Admirer,greedy;math,1898,B
800,Milica and String,brute force;implementation;strings,1898,A
3500,Cyclic Hamming (Hard Version),brute force;dp;fft;math;number theory,1896,H2
3400,Cyclic Hamming (Easy Version),brute force;divide and conquer;dp;fft;math;number theory,1896,H1
3200,Pepe Racing,constructive algorithms;implementation;interactive;sortings,1896,G
2600,Bracket Xoring,constructive algorithms;greedy;implementation;math,1896,F
2100,Permutation Sorting,data structures;sortings,1896,E
1700,Ones and Twos,binary search;data structures;divide and conquer;math;two pointers,1896,D
1400,Matching Arrays,binary search;constructive algorithms;greedy;sortings,1896,C
900,AB Flipping,greedy;strings;two pointers,1896,B
800,Jagged Swaps,sortings,1896,A
3100,Two Characters, Two Colors,binary search;data structures;dp;flows;greedy,1895,G
2600,Fancy Arrays,combinatorics;dp;math;matrices,1895,F
2300,Infinite Card Game,binary search;brute force;data structures;dfs and similar;dp;dsu;games;graphs;greedy;sortings;two pointers,1895,E
1900,XOR Construction,bitmasks;constructive algorithms;data structures;math;string suffix structures;trees,1895,D
1400,Torn Lucky Ticket,brute force;dp;hashing;implementation;math,1895,C
800,Points and Minimum Distance,greedy;math;sortings,1895,B
800,Treasure Chest,math,1895,A
1000,Two Out of Three,constructive algorithms,1894,B
800,Secret Sport,implementation;strings,1894,A
3500,Cacti Symphony,combinatorics;dfs and similar;dp;graphs,1893,E
2600,Colorful Constructive,constructive algorithms;data structures;greedy,1893,D
2000,Freedom of Choice,brute force;greedy;implementation,1893,C
1700,Neutral Tonality,constructive algorithms;greedy;sortings;two pointers,1893,B
1400,Anonymous Informant,brute force;dfs and similar;graphs;implementation,1893,A
2000,A Growing Tree,data structures;dfs and similar;trees,1891,F
2500,Brukhovich and Exams,brute force;greedy;implementation;math;sortings,1891,E
1900,Suspicious logarithms,binary search;brute force;math,1891,D
1500,Smilo and Monsters,binary search;constructive algorithms;greedy;sortings;two pointers,1891,C
1100,Deja Vu,brute force;math;sortings,1891,B
800,Sorting with Twos,constructive algorithms;sortings,1891,A
800,Qingshan Loves Strings,constructive algorithms;implementation,1890,B
800,Doremy's Paint 3,constructive algorithms,1890,A
3500,Doremy's Average Tree,data structures;dp;greedy;trees,1889,F
3500,Doremy's Swapping Trees,dfs and similar;graphs;trees,1889,E
3000,Game of Stacks,brute force;dfs and similar;graphs;implementation;trees,1889,D
2600,Doremy's Drying Plan (Hard Version),data structures;dp,1889,C2
2000,Doremy's Drying Plan (Easy Version),brute force;data structures;dp;greedy;sortings,1889,C1
1700,Doremy's Connecting Plan,constructive algorithms;greedy;math;sortings,1889,B
1300,Qingshan Loves Strings 2,constructive algorithms;greedy;implementation,1889,A
3400,Minimum Segments,constructive algorithms,1887,F
3100,Good Colorings,binary search;constructive algorithms;graphs;interactive,1887,E
2700,Split,binary search;data structures;divide and conquer;dsu;math;trees;two pointers,1887,D
2400,Minimum Array,binary search;brute force;constructive algorithms;data structures;greedy;hashing;two pointers,1887,C
1900,Time Travel,binary search;graphs;shortest paths,1887,B
3300,Diamond Theft,data structures;greedy,1886,F
2400,I Wanna be the Team Leader,bitmasks;constructive algorithms;dp;greedy;math;sortings;two pointers,1886,E
2100,Monocarp and the Set,combinatorics;data structures;math,1886,D
1600,Decreasing String,implementation;strings,1886,C
1200,Fear of the Dark,binary search;geometry;math,1886,B
800,Sum of Three,brute force;constructive algorithms;math,1886,A
,Deterministic Scheduling for Extended Reality over 5G and Beyond,*special,1885,A
2800,Hard Design,greedy;implementation;math,1884,E
2100,Counting Rhyme,dp;math;number theory,1884,D
1700,Medium Design,brute force;data structures;dp;greedy;sortings,1884,C
1100,Haunted House,binary search;greedy;math;two pointers,1884,B
800,Simple Design,brute force;greedy;math,1884,A
1900,Dances (Hard Version),binary search;greedy;sortings;two pointers,1883,G2
1400,Dances (Easy version),binary search;greedy;two pointers,1883,G1
1400,You Are So Beautiful,data structures,1883,F
1700,Look Back,bitmasks;greedy,1883,E
1500,In Love,data structures;greedy,1883,D
1000,Raspberries,dp;math,1883,C
900,Chemistry,strings,1883,B
800,Morning,math,1883,A
3100,Two Permutations (Hard Version),constructive algorithms,1882,E2
2400,Two Permutations (Easy Version),brute force;constructive algorithms;greedy;number theory,1882,E1
1900,Tree XOR,bitmasks;dfs and similar;dp;greedy;trees,1882,D
1500,Card Game,brute force;greedy,1882,C
1300,Sets and Union,bitmasks;brute force;constructive algorithms;greedy,1882,B
